newsIDs,ratios,invisible_by_news,visible_by_news
847462,0.42857142857142855,3.0,7.0
843132,0.42857142857142855,3.0,7.0
786169,0.42857142857142855,3.0,7.0
791510,0.42857142857142855,3.0,7.0
791540,0.425,34.0,80.0
820448,0.425,17.0,40.0
833055,0.42424242424242425,14.0,33.0
823018,0.4230769230769231,11.0,26.0
815854,0.4230769230769231,11.0,26.0
821295,0.42105263157894735,8.0,19.0
895311,0.42105263157894735,16.0,38.0
883531,0.42105263157894735,8.0,19.0
904188,0.42105263157894735,8.0,19.0
862157,0.42105263157894735,16.0,38.0
921703,0.42105263157894735,16.0,38.0
864250,0.42105263157894735,8.0,19.0
